Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
types/ByteArray/Length/bs200/ByteString,8.25782709034544e-9,8.135362600187288e-9,8.399522455026414e-9,4.292060281844841e-10,3.709758479945919e-10,5.884942971055199e-10
types/ByteArray/Length/bs2000/UArray_W8,8.841171884330545e-9,8.714202480383737e-9,8.985981988021723e-9,4.4189610757006693e-10,3.870720416661379e-10,5.168201886687214e-10
types/ByteArray/Length/bs2000/ByteString,8.245233440208802e-9,8.121123898321905e-9,8.380696475216893e-9,4.160983935970659e-10,3.5874497692853285e-10,4.942137269265554e-10
types/ByteArray/Take/bs20/UArray_W8,9.574711352276415e-9,9.442531735066355e-9,9.734948259238797e-9,4.907900332192549e-10,4.194684642269368e-10,6.045340972780196e-10
types/ByteArray/Take/bs20/ByteString,9.381182266020603e-9,9.219069680951053e-9,9.526707654976099e-9,5.417770674477784e-10,4.661844335878472e-10,6.402458192548095e-10
types/ByteArray/Take/bs200/UArray_W8,9.74684550290141e-9,9.606613579480978e-9,9.952199244323707e-9,5.533970729694448e-10,4.4555898644523687e-10,7.377624796463725e-10
types/ByteArray/Take/bs200/ByteString,9.303979752043678e-9,9.173124558415652e-9,9.465631354005047e-9,4.893351349420274e-10,4.3442245223587244e-10,5.775297129914847e-10
types/ByteArray/Take/bs2000/UArray_W8,9.599112242623646e-9,9.408292770939535e-9,9.84474604872505e-9,6.967142108442346e-10,5.031978791305799e-10,1.074763985125798e-9
types/ByteArray/Take/bs2000/ByteString,9.268366464117082e-9,9.147793989796804e-9,9.39849240986608e-9,4.292949764239411e-10,3.668043770738064e-10,5.337410810446814e-10
types/ByteArray/Take/bs20/UArray_W8,1.0757069182728845e-8,1.0573920388296697e-8,1.0971698687398392e-8,6.812782370029148e-10,5.734135106985736e-10,8.422584164676341e-10
types/ByteArray/Take/bs20/ByteString,1.0506930939252243e-8,1.0363493316411439e-8,1.065131639623659e-8,4.852511618477036e-10,4.099473822728455e-10,5.787199034480021e-10
